name;instance_size;time;memory;min_path;path;real result;real path
;;;;;;;
matrix_my_4;4;0,007187128;43708416;38;[0, 1, 2, 3, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0,000998497;43950080;42;[0, 1, 4, 3, 2, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0,000998259;43991040;132;[0, 1, 2, 3, 4, 5, 0];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0,001992702;43991040;80;[0, 5, 1, 2, 3, 4, 0];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;0,199070215;51220480;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
matrix12;12;4,490722179;306401280;264;[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0];264; [0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
matrix13;13;26,00330877;1539629056;269;[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0];269; [0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0]
matrix14;14;185,6064186;6855499776;282;[0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0];282; [0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0]
;;;;;;;
matrix_my_4;4;0,00199461;43659264;38;[0, 1, 2, 3, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0,001996756;43929600;42;[0, 1, 4, 3, 2, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0,000995874;43958272;132;[0, 1, 2, 3, 4, 5, 0];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0,000992775;43962368;80;[0, 5, 1, 2, 3, 4, 0];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;0,171730518;51372032;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
matrix12;12;1,857845783;131624960;264;[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0];264; [0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
matrix13;13;24,63925886;1275650048;269;[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0];269; [0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0]
matrix14;14;123,5204263;5560217600;282;[0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0];282; [0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0]
matrix15;15;1535,824373;12690563072;291;[0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1, 12, 0];291; [0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10, 0]
matrix17;17;124,6759624;1964650496;39;[0, 1, 2, 7, 3, 4, 5, 6, 8, 16, 9, 10, 13, 12, 14, 15, 11, 0];39; [0, 11, 13, 2, 9, 10, 1, 12, 15, 14, 5, 6, 3, 4, 7, 8, 16, 0]
;;;;;;;
matrix_my_4;4;0,005665302;43204608;38;[0, 1, 2, 3, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0,001993418;43442176;42;[0, 1, 4, 3, 2, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0,002131462;43499520;132;[0, 1, 2, 3, 4, 5, 0];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0,001557827;43511808;80;[0, 5, 1, 2, 3, 4, 0];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;0,180033922;50843648;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
matrix12;12;1,989317179;131182592;264;[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0];264; [0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
matrix13;13;38,62944174;1275224064;269;[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0];269; [0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0]
matrix14;14;124,6068814;5559750656;282;[0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0];282; [0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0]
matrix15;15;1337,590952;10177261568;291;[0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1, 12, 0];291; [0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10, 0]
matrix17;17;99,11053896;1964253184;39;[0, 1, 2, 7, 3, 4, 5, 6, 8, 16, 9, 10, 13, 12, 14, 15, 11, 0];39; [0, 11, 13, 2, 9, 10, 1, 12, 15, 14, 5, 6, 3, 4, 7, 8, 16, 0]
;;;;;;;
;;;;;;;
matrix_my_4;4;0,0047931671142578125;43692032;38;[0, 1, 2, 3, 0];38; [0, 1, 2, 3, 0];
matrix_my_5;5;0,001994609832763672;43884544;42;[0, 1, 4, 3, 2, 0];42; [0, 1, 4, 3, 2, 0];
matrix6_1;6;0,002584218978881836;43900928;132;[0, 1, 2, 3, 4, 5, 0];132; [0, 1, 2, 3, 4, 5, 0];
matrix6_2;6;0,0019989013671875;43900928;80;[0, 5, 1, 2, 3, 4, 0];80; [0, 5, 1, 2, 3, 4, 0];
matrix10;10;0,11270713806152344;51154944;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];
;;;;;;;
matrix_my_4;4;0,007142543792724609;43552768;38;[0, 1, 2, 3, 0];38; [0, 1, 2, 3, 0];
matrix_my_5;5;0,002991914749145508;43802624;42;[0, 1, 4, 3, 2, 0];42; [0, 1, 4, 3, 2, 0];
matrix6_1;6;0,001993894577026367;43855872;132;[0, 1, 2, 3, 4, 5, 0];132; [0, 1, 2, 3, 4, 5, 0];
matrix6_2;6;0,0009975433349609375;43827200;80;[0, 5, 1, 2, 3, 4, 0];80; [0, 5, 1, 2, 3, 4, 0];
matrix10;10;0,1270895004272461;51122176;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];
matrix12;12;1,527285099029541;131522560;264;[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0];264; [0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0];
;;;;;;;
matrix_my_4;4;0,013875007629394531;43675648;38;[0, 1, 2, 3, 0];38; [0, 1, 2, 3, 0];
matrix_my_5;5;0,0010025501251220703;43888640;42;[0, 1, 4, 3, 2, 0];42; [0, 1, 4, 3, 2, 0];
matrix6_1;6;0,001009225845336914;43937792;132;[0, 1, 2, 3, 4, 5, 0];132; [0, 1, 2, 3, 4, 5, 0];
matrix6_2;6;0,0009965896606445312;43905024;80;[0, 5, 1, 2, 3, 4, 0];80; [0, 5, 1, 2, 3, 4, 0];
matrix10;10;0,19710206985473633;51265536;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];
;;;;;;;
matrix_my_4;4;0,002492666244506836;42758144;38;[0, 1, 2, 3, 0];38; [0, 1, 2, 3, 0];
matrix_my_5;5;0,002026081085205078;42979328;42;[0, 1, 4, 3, 2, 0];42; [0, 1, 4, 3, 2, 0];
matrix6_1;6;0,0026559829711914062;42995712;132;[0, 1, 2, 3, 4, 5, 0];132; [0, 1, 2, 3, 4, 5, 0];
matrix6_2;6;0,0020313262939453125;42999808;80;[0, 5, 1, 2, 3, 4, 0];80; [0, 5, 1, 2, 3, 4, 0];
matrix10;10;0,20379137992858887;50106368;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];
matrix12;12;1,4759116172790527;130572288;264;[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0];264; [0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0];
