name;instance_size;time;memory;min_path;path;real result;real path
;;;;;;;
matrix6_1;6;0;;132;[0, 1, 2, 3, 4, 5];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0;;80;[0, 5, 1, 2, 3, 4];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;0;;212;[0, 5, 1, 9, 6, 7, 8, 2, 4, 3];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
matrix_my_11;11;17,92299819;;251;[0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 0];251; [0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0]
matrix12;12;0,015621185;;264;[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1];264; [0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
matrix13;13;0,046864271;;269;[0, 12, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];269;[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0]
matrix14;14;0,166297436;;282;[0, 12, 1, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10];282;[0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0]
matrix15;15;0,248954773;;291;[0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10];291;[0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10, 0]
matrix17;17;1,275847435;;39;[0, 11, 16, 8, 7, 4, 3, 15, 14, 6, 5, 12, 10, 9, 1, 13, 2];39;[0, 11, 13, 2, 9, 10, 1, 12, 15, 14, 5, 6, 3, 4, 7, 8, 16, 0]
;;;;;;;
matrix4;4;0;;38;[0, 3, 2, 1];38; [0, 1, 2, 3, 0]
matrix5;5;0;;42;[0, 2, 3, 4, 1];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0;;132;[0, 1, 2, 3, 4, 5];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0;;80;[0, 5, 1, 2, 3, 4];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;0,015618801;;212;[0, 5, 1, 9, 6, 7, 8, 2, 4, 3];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
matrix_my_11;11;17,92299819;;251;[0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 0];251; [0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0]
matrix12;12;0,015623093;;264;[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1];264; [0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
